INFO: 	2022/10/22 13:32:07 CREATED LOGGER
ERROR: 	2022/10/22 13:32:07 main.go:28: SDS
INFO: 	2022/10/22 13:37:35 я ебу собак
INFO: 	2022/10/22 13:43:37 1log
INFO: 	2022/10/22 13:44:34 1log
INFO: 	2022/10/22 13:48:01 1log
INFO: 	2022/10/22 13:50:18 1log
INFO: 	2022/10/22 13:51:40 1log
INFO: 	2022/10/22 13:52:10 1log
INFO: 	2022/10/22 13:52:10 2log
INFO: 	2022/10/22 14:03:08 LOX
INFO: 	2022/10/22 14:04:28 LOX
INFO: 	2022/10/22 14:04:42 ASDASSDASADSSDDS
ERROR: 	2022/10/22 14:05:53 authHandler.go:15: key is of invalid type
ERROR: 	2022/10/22 14:06:36 authHandler.go:15: key is of invalid type
ERROR: 	2022/10/22 14:10:16 authHandler.go:15: key is of invalid type
ERROR: 	2022/10/22 14:13:04 authHandler.go:15: key is of invalid type
ERROR: 	2022/10/22 14:14:02 tokenService.go:38: key is of invalid type
ERROR: 	2022/10/22 14:14:02 authHandler.go:15: key is of invalid type
ERROR: 	2022/10/22 14:15:57 tokenService.go:38: key is of invalid type
ERROR: 	2022/10/22 14:15:57 authHandler.go:15: key is of invalid type
INFO: 	2022/10/22 14:19:04 key
ERROR: 	2022/10/22 14:19:04 tokenService.go:40: key is of invalid type
ERROR: 	2022/10/22 14:19:04 authHandler.go:15: key is of invalid type
INFO: 	2022/10/22 14:20:28 key
ERROR: 	2022/10/22 14:20:28 tokenService.go:40: key is invalid
ERROR: 	2022/10/22 14:20:28 authHandler.go:15: key is invalid
INFO: 	2022/10/22 14:22:54 key
ERROR: 	2022/10/22 14:22:54 tokenService.go:40: key is invalid
ERROR: 	2022/10/22 14:22:54 authHandler.go:15: key is invalid
INFO: 	2022/10/22 14:24:30 key
ERROR: 	2022/10/22 14:24:30 tokenService.go:40: key is invalid
ERROR: 	2022/10/22 14:24:30 authHandler.go:15: key is invalid
ERROR: 	2022/10/22 14:40:44 tokenService.go:80: key is invalid
ERROR: 	2022/10/22 14:40:44 authHandler.go:15: key is invalid
ERROR: 	2022/10/22 14:41:30 authHandler.go:15: ОШИБКА: ошибка синтаксиса (примерное положение: "WHERE") (SQLSTATE 42601)
ERROR: 	2022/10/22 14:43:58 authHandler.go:15: ОШИБКА: ошибка синтаксиса (примерное положение: "WHERE") (SQLSTATE 42601)
INFO: 	2022/10/22 14:46:07 key
INFO: 	2022/10/22 14:46:14 key
INFO: 	2022/10/22 14:49:07 key
INFO: 	2022/10/22 14:50:31 - 
INFO: 	2022/10/22 14:50:32 key
INFO: 	2022/10/22 14:52:41 - 
INFO: 	2022/10/22 14:52:42 key
INFO: 	2022/10/22 14:53:50 nurlan_ba- nurlan
INFO: 	2022/10/22 14:53:51 key
INFO: 	2022/10/22 22:41:49 nurlan- nurlan
INFO: 	2022/10/22 22:41:50 key
INFO: 	2022/10/22 22:47:23 nurlan212- nurlan
INFO: 	2022/10/22 22:47:26 key
INFO: 	2022/10/22 22:47:41 nurlan212- nurlan
INFO: 	2022/10/22 22:47:45 key
INFO: 	2022/10/22 22:53:23 nurlan212sd- nurlan2A_
INFO: 	2022/10/22 22:53:26 key
INFO: 	2022/10/22 22:56:26 nurlan212sd- nurlan2A_
INFO: 	2022/10/22 22:56:29 key
INFO: 	2022/10/22 22:58:09 nurlan212sd- nurlan2A_
INFO: 	2022/10/22 22:58:12 key
INFO: 	2022/10/22 22:58:22 nurlan212sda- nurlan2A_w
INFO: 	2022/10/22 22:58:25 key
INFO: 	2022/10/23 00:12:11 - 
INFO: 	2022/10/23 00:12:12 key
INFO: 	2022/10/23 00:12:20 - 
INFO: 	2022/10/23 00:12:21 key
INFO: 	2022/10/23 00:13:55 testasdws- Baitasnur1507!s
INFO: 	2022/10/23 00:13:55 key
INFO: 	2022/10/23 00:36:07 Nurik2- !Baitasnur150
INFO: 	2022/10/23 00:36:07 key
INFO: 	2022/10/23 20:23:29 Nurik3- !Baitasnur150
INFO: 	2022/10/23 20:23:30 key
INFO: 	2022/10/23 20:29:37 Nurik4- !Baitasnur150
INFO: 	2022/10/23 20:29:38 key
INFO: 	2022/10/23 20:31:16 Nurik5- !Baitasnur150
INFO: 	2022/10/23 20:31:16 key
INFO: 	2022/10/23 22:49:40 - 
INFO: 	2022/10/23 22:49:42 key
INFO: 	2022/10/23 22:51:59 - 
INFO: 	2022/10/23 22:52:02 key
INFO: 	2022/10/23 23:21:51 - 
INFO: 	2022/10/23 23:21:52 key
INFO: 	2022/10/24 00:16:16 nurlanchik- Baitasnur1507!
INFO: 	2022/10/24 00:16:17 key
INFO: 	2022/10/24 00:21:26 nurla- Baitasnur1507!
INFO: 	2022/10/24 00:21:27 key
INFO: 	2022/10/24 00:24:23 nurlaw- Baitasnur1507!
INFO: 	2022/10/24 00:24:24 key
INFO: 	2022/10/24 00:27:28 nurlaka- Baitasnur1507!
INFO: 	2022/10/24 00:27:28 key
INFO: 	2022/10/24 00:29:38 nurlen- Baitasnur1507!
INFO: 	2022/10/24 00:29:38 key
